Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)
2017 191     0   4208831.603   2334851.106   4171270.465     10.178   2.282  -0.003   2.279
2017 191    30   4208829.137   2334850.123   4171267.702      7.265   2.282  -0.063   2.219
2017 191    60   4208829.221   2334850.486   4171267.425      7.058   2.282   0.021   2.304
2017 191    90   4208828.995   2334850.619   4171267.065      6.276   2.282   0.152   2.435
2017 191   120   4208829.793   2334850.967   4171267.306      6.769   2.282   0.156   2.438
2017 191   150   4208830.461   2334851.282   4171267.430      7.582   2.282   0.110   2.392
2017 191   180   4208830.635   2334851.351   4171267.493      7.614   2.282   0.086   2.369
2017 191   210   4208830.485   2334851.172   4171267.547      7.355   2.282   0.103   2.385
2017 191   240   4208830.276   2334850.976   4171267.477      7.216   2.282   0.137   2.419
2017 191   270   4208830.178   2334850.844   4171267.488      7.235   2.282   0.148   2.431
2017 191   300   4208830.140   2334850.803   4171267.497      7.122   2.282   0.167   2.449
2017 191   330   4208830.251   2334850.819   4171267.552      7.490   2.282   0.160   2.442
2017 191   360   4208830.337   2334850.834   4171267.575      7.369   2.282   0.153   2.435
2017 191   390   4208830.280   2334850.784   4171267.572      7.327   2.282   0.152   2.434
2017 191   420   4208830.268   2334850.717   4171267.524      7.238   2.282   0.163   2.446
2017 191   450   4208830.273   2334850.745   4171267.544      7.192   2.282   0.158   2.440
2017 191   480   4208830.306   2334850.781   4171267.567      7.162   2.282   0.150   2.432
2017 191   510   4208830.323   2334850.817   4171267.586      7.074   2.282   0.147   2.429
2017 191   540   4208830.339   2334850.848   4171267.601      6.980   2.282   0.144   2.426
2017 191   570   4208830.344   2334850.899   4171267.624      6.942   2.282   0.140   2.423
2017 191   600   4208830.313   2334850.910   4171267.626      7.016   2.282   0.141   2.424
2017 191   630   4208830.285   2334850.898   4171267.624      7.016   2.282   0.144   2.426
2017 191   660   4208830.251   2334850.878   4171267.620      6.822   2.282   0.143   2.426
2017 191   690   4208830.232   2334850.855   4171267.618      7.032   2.282   0.143   2.426
2017 191   720   4208830.208   2334850.816   4171267.601      7.088   2.282   0.145   2.428
