Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)   (SDE)   (SDC)
2017 191     0   4208830.798   2334850.832   4171267.763      8.702   2.282   0.001   2.283   1.432  12.792  28.877
2017 191    30   4208829.744   2334850.222   4171267.316      7.113   2.282   0.129   2.411   1.358  12.732  30.112
2017 191    60   4208829.978   2334850.647   4171267.256      7.165   2.282   0.164   2.446   1.343  12.877  30.789
2017 191    90   4208829.739   2334850.672   4171267.181      6.676   2.282   0.173   2.455   1.464  13.025  31.340
2017 191   120   4208829.812   2334850.723   4171267.193      6.638   2.282   0.183   2.465   1.597  13.152  31.592
2017 191   150   4208829.882   2334850.735   4171267.173      6.951   2.282   0.182   2.464   1.667  13.172  31.656
2017 191   180   4208829.917   2334850.734   4171267.122      6.799   2.282   0.187   2.469   1.659  13.127  31.628
2017 191   210   4208829.933   2334850.719   4171267.187      6.700   2.282   0.182   2.465   1.648  13.111  31.624
2017 191   240   4208829.894   2334850.666   4171267.217      6.757   2.282   0.193   2.475   1.615  13.085  31.595
2017 191   270   4208829.963   2334850.630   4171267.301      6.943   2.282   0.185   2.468   1.542  13.033  31.527
2017 191   300   4208829.929   2334850.631   4171267.315      6.857   2.282   0.196   2.478   1.471  12.989  31.527
2017 191   330   4208829.940   2334850.623   4171267.336      7.158   2.282   0.190   2.473   1.382  12.934  31.514
2017 191   360   4208829.949   2334850.629   4171267.341      6.988   2.282   0.184   2.467   1.296  12.885  31.500
2017 191   390   4208829.936   2334850.635   4171267.351      6.994   2.282   0.179   2.461   1.246  12.849  31.521
2017 191   420   4208829.921   2334850.619   4171267.313      6.931   2.282   0.185   2.467   1.219  12.822  31.537
2017 191   450   4208829.925   2334850.653   4171267.336      6.887   2.282   0.179   2.461   1.212  12.802  31.565
2017 191   480   4208829.945   2334850.670   4171267.359      6.845   2.282   0.171   2.453   1.206  12.764  31.566
2017 191   510   4208829.945   2334850.691   4171267.368      6.739   2.282   0.169   2.451   1.202  12.725  31.594
2017 191   540   4208829.935   2334850.713   4171267.370      6.625   2.282   0.167   2.449   1.191  12.689  31.624
2017 191   570   4208829.905   2334850.736   4171267.373      6.551   2.282   0.166   2.448   1.176  12.673  31.671
2017 191   600   4208829.874   2334850.751   4171267.369      6.625   2.282   0.166   2.449   1.152  12.679  31.713
2017 191   630   4208829.862   2334850.765   4171267.366      6.640   2.282   0.167   2.450   1.123  12.701  31.747
2017 191   660   4208829.864   2334850.770   4171267.369      6.476   2.282   0.165   2.447   1.101  12.717  31.763
2017 191   690   4208829.868   2334850.768   4171267.370      6.703   2.282   0.164   2.446   1.089  12.732  31.767
2017 191   720   4208829.879   2334850.754   4171267.364      6.789   2.282   0.164   2.447   1.084  12.742  31.786
2017 191   750   4208829.887   2334850.742   4171267.353      6.594   2.282   0.166   2.449   1.079  12.745  31.806
2017 191   780   4208829.891   2334850.730   4171267.346      6.554   2.282   0.165   2.448   1.078  12.735  31.818
2017 191   810   4208829.899   2334850.718   4171267.337      6.476   2.282   0.166   2.448   1.069  12.714  31.834
2017 191   840   4208829.918   2334850.702   4171267.329      6.658   2.282   0.166   2.449   1.058  12.684  31.852
2017 191   870   4208829.925   2334850.694   4171267.323      6.484   2.282   0.166   2.449   1.060  12.661  31.884
2017 191   900   4208829.934   2334850.684   4171267.319      6.553   2.282   0.167   2.450   1.072  12.646  31.920
2017 191   930   4208829.936   2334850.680   4171267.315      6.629   2.282   0.168   2.451   1.080  12.634  31.952
2017 191   960   4208829.947   2334850.676   4171267.315      6.516   2.282   0.167   2.449   1.074  12.619  31.976
2017 191   990   4208829.959   2334850.668   4171267.316      6.705   2.282   0.165   2.448   1.058  12.597  31.984
2017 191  1020   4208829.962   2334850.662   4171267.311      6.878   2.282   0.167   2.449   1.038  12.571  31.991
2017 191  1050   4208829.970   2334850.658   4171267.309      7.110   2.282   0.166   2.449   1.024  12.542  31.988
2017 191  1080   4208829.974   2334850.654   4171267.307      7.330   2.282   0.167   2.449   1.023  12.521  31.999
2017 191  1110   4208829.975   2334850.652   4171267.304      7.059   2.282   0.166   2.449   1.036  12.510  32.017
2017 191  1140   4208829.974   2334850.646   4171267.301      6.970   2.282   0.167   2.449   1.057  12.502  32.029
2017 191  1170   4208829.975   2334850.640   4171267.299      7.018   2.282   0.167   2.449   1.070  12.491  32.040
2017 191  1200   4208829.975   2334850.636   4171267.294      7.144   2.282   0.168   2.450   1.077  12.475  32.060
2017 191  1230   4208829.976   2334850.635   4171267.292      7.186   2.282   0.168   2.450   1.080  12.461  32.079
2017 191  1260   4208829.973   2334850.633   4171267.292      7.152   2.282   0.168   2.451   1.085  12.455  32.094
2017 191  1290   4208829.971   2334850.630   4171267.291      7.281   2.282   0.169   2.451   1.088  12.460  32.108
2017 191  1320   4208829.971   2334850.629   4171267.291      7.044   2.282   0.169   2.451   1.090  12.471  32.121
2017 191  1350   4208829.969   2334850.629   4171267.293      6.702   2.282   0.169   2.452   1.092  12.483  32.135
2017 191  1380   4208829.971   2334850.630   4171267.295      6.818   2.282   0.170   2.452   1.095  12.497  32.147
2017 191  1410   4208829.968   2334850.631   4171267.296      6.485   2.282   0.170   2.453   1.097  12.511  32.159
2017 191  1440   4208829.969   2334850.633   4171267.298      6.549   2.282   0.170   2.453   1.097  12.519  32.170
2017 191  1470   4208829.968   2334850.637   4171267.301      6.555   2.282   0.171   2.453   1.092  12.519  32.178
2017 191  1500   4208829.967   2334850.636   4171267.302      6.531   2.282   0.171   2.454   1.089  12.512  32.178
2017 191  1530   4208829.969   2334850.634   4171267.305      6.738   2.282   0.172   2.454   1.086  12.503  32.177
2017 191  1560   4208829.971   2334850.634   4171267.307      6.908   2.282   0.173   2.455   1.081  12.495  32.169
2017 191  1590   4208829.975   2334850.631   4171267.308      6.922   2.282   0.174   2.456   1.074  12.490  32.161
2017 191  1620   4208829.977   2334850.629   4171267.310      6.625   2.282   0.174   2.457   1.067  12.490  32.157
